2, 3.160831595148854, 3.160831595148854
3, 3.160831595149103, 6.321663190297957
4, 3.1608315951489425, 9.4824947854469
16, 3.1608315951491224, 9.482494785447233
19, 3.7799128393218853, 11.339738517964609
29, 156.62282160184256, 156.62282160184256
30, 356.29950750548653, 512.9223291073291
31, 327.21386849587714, 840.1361976032063
52, 343.67182434067746, 847.0177039556023
391, 364.190039849344, 855.7470881705914
574, 467.7734755726862, 973.4341012406578
778, 342.7173701800908, 1075.3709482095328
1252, 384.52707089368346, 1184.0589804743774
1768, 363.8506991769037, 1187.0493963629556
2008, 408.78251843238786, 1223.673790719134
